ID,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,Nb_Ventes,PrixMoyen_M2,LATITUDE,LONGITUDE
COMMUNE_0000000009757202,33036,33,75,200043982.0,BAZAS,4747,62.0,1762.0,44.4320456,-0.2126009
COMMUNE_0000000009755869,33148,33,75,200070092.0,DARDENAC,84,1.0,500.0,44.7841282,-0.2417572
COMMUNE_0000000009755414,33249,33,75,243300316.0,LORMONT,23247,203.0,2608.0,44.8791708,-0.5216683
COMMUNE_0000000009755613,33127,33,75,243301454.0,CIVRAC SUR DORDOGNE,218,2.0,1462.0,44.8304142,-0.0815023
COMMUNE_0000000009755596,33402,33,75,243301371.0,SAINTE FOY LA GRANDE,2484,34.0,793.0,44.8416496,0.214969
COMMUNE_0000000009754584,33058,33,75,200023794.0,BLAYE,4856,98.0,1401.0,45.1271231,-0.6635964
COMMUNE_0000000009754166,33545,33,75,200069995.0,VERTHEUIL,1272,14.0,1478.0,45.2499593,-0.8345078
COMMUNE_0000000009754779,33489,33,75,200023794.0,SAINT VIVIEN DE BLAYE,369,7.0,1231.0,45.0994591,-0.5170726
COMMUNE_0000000009755867,33163,33,75,200069599.0,FALEYRAS,423,5.0,1422.0,44.77098,-0.22758
COMMUNE_0000000009755408,33207,33,75,200070092.0,IZON,5692,92.0,2282.0,44.92014,-0.363
COMMUNE_0000000009756325,33409,33,75,200069599.0,SAINT GENIS DU BOIS,90,1.0,1979.0,44.7021497,-0.1742612
COMMUNE_0000000009755874,33145,33,75,243301215.0,CURSAN,645,4.0,2543.0,44.80284,-0.33826
COMMUNE_0000000009755015,33104,33,75,243301389.0,CASTELNAU DE MEDOC,4623,82.0,2263.0,45.0272712,-0.7990007
COMMUNE_0000000009756789,33050,33,75,200043974.0,BIEUJAC,574,3.0,2284.0,44.53881,-0.1551
COMMUNE_0000000009755395,33181,33,75,200035533.0,GARDEGAN ET TOURTIRAC,286,8.0,1458.0,44.89288765,-0.017853078234798803
COMMUNE_0000000009756097,33121,33,75,200069599.0,CESSAC,192,5.0,2053.0,44.7428538,-0.1776592
COMMUNE_0000000009754371,33161,33,75,243300811.0,EYRANS,754,10.0,1168.0,45.1883607,-0.6163485
COMMUNE_0000000009755628,33185,33,75,200070092.0,GENISSAC,1924,20.0,1815.0,44.8585524,-0.2578075
COMMUNE_0000000009754579,33458,33,75,200023794.0,SAINT PAUL,914,14.0,1520.0,44.9497487,-93.0931028
COMMUNE_0000000009757201,33244,33,75,200043982.0,LIGNAN DE BAZAS,396,3.0,2173.0,44.4350089,-0.2756822
COMMUNE_0000000009757376,33270,33,75,200043982.0,MARIMBAULT,188,1.0,1757.0,44.41023,-0.26984
COMMUNE_0000000009755862,33044,33,75,200069599.0,BELLEFOND,228,,,47.3802739,5.0682091
COMMUNE_0000000009755188,33302,33,75,200035533.0,NEAC,407,2.0,1774.0,44.93534,-0.18376
COMMUNE_0000000009756081,33094,33,75,243301371.0,CAPLONG,230,4.0,1576.0,44.77651,0.13767
COMMUNE_0000000009756337,33515,33,75,200069599.0,SOULIGNAC,434,4.0,1778.0,44.6980632,-0.2830432
COMMUNE_0000000009756321,33506,33,75,200069599.0,SAUVETERRE DE GUYENNE,1755,20.0,1393.0,44.6928333,-0.0862892
COMMUNE_0000000009756535,33359,33,75,200044394.0,ROQUEBRUNE,274,6.0,1173.0,43.7201447,0.2998887
COMMUNE_0000000009755607,33296,33,75,243301454.0,MOULIETS ET VILLEMARTIN,1075,11.0,1406.0,44.8420883,-0.0177698
COMMUNE_0000000009756123,33529,33,75,243300563.0,TESTE DE BUCH,26168,552.0,4732.0,44.6316943,-1.1491319
COMMUNE_0000000009755866,33194,33,75,243301454.0,GREZILLAC,695,14.0,2164.0,44.817956,-0.2168652
COMMUNE_0000000009753705,33038,33,75,200069995.0,BEGADAN,915,11.0,1592.0,45.3563411,-0.8952812
COMMUNE_0000000009754778,33525,33,75,243301223.0,TAURIAC,1289,21.0,1879.0,45.0496567,-0.5023006
